ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,categories
0020259700,7.0,WINGS ABOVE THE DIAMANTINA,Arthur Upfield,1986,Scribner Paper Fiction,Fiction
0020264801,9.0,ETHAN FROME,Edith Wharton,1987,Scribner,Fiction
0020264852,8.0,Roman Fever and Other Stories,Edith Wharton,1993,Scribner,Fiction
0020280505,8.0,HOW TO STAY ALIVE IN THE WOODS,Bradford Angier,1962,Scribner Paper Fiction,Sports & Recreation
0020295804,6.0,The Blade: Shellville High School Yearbook,Don Novello,1984,Collier Books,Humor
0020306652,7.714285714285714,Ball Four,Jim  Bouton,1990,John Wiley &amp; Sons,Sports & Recreation
002031275X,9.0,TOLKIEN : The Illustrated Encyclopaedia,David Day,1992,Scribner Paper Fiction,Fiction
0020315902,10.0,Eye in the Sky,Philip K. Dick,1989,Simon &amp; Schuster,Fiction
002040400X,7.8,Unexplained Sniglets of the Universe,Rich Hall,1986,Simon &amp; Schuster,Humor
0020407114,3.0,The Ninth Man (Collier Spymasters Series),John Lee,1989,Simon &amp; Schuster,Fiction
0020412401,8.0,LITTLE WOMEN,Louisa May Alcott,1986,Scribner,Fiction
0020413904,6.0,RAGGED DICK AND MARK THE MATCH BOY,Horatio Alger,1962,Scribner Paper Fiction,Fiction
0020418809,9.333333333333334,CADDIE WOODLAWN,Carol Ryrie Brink,1970,Simon Pulse,Juvenile Fiction
0020427018,8.0,The City of Gold and Lead,John Christopher,1988,Simon Pulse,Juvenile Fiction
0020430507,10.0,PRAYER FOR A CHILD,Rachel Field,1973,Aladdin,Juvenile Nonfiction
0020430701,10.0,Prayer for a Child,Rachel Field,1984,Aladdin,Juvenile Nonfiction
0020441916,7.0,The MARK OF CONTE,Sonia Levitin,1987,Simon Pulse,High schools
0020442203,8.724137931034482,"Lion, the Witch and the Wardrobe",C.S. Lewis,1970,MacMillan Publishing Company.,Fiction
0020442300,8.636363636363637,The Magician's Nephew,C. S. Lewis,1970,MacMillan Publishing Company.,Children's stories
0020446500,8.285714285714286,Z for Zachariah,Robert C. O'Brien,1987,Simon Pulse,Young Adult Fiction
0020446519,5.0,The SILVER CROWN,Patricia O'Brien,1988,Simon Pulse,Juvenile Fiction
0020452705,9.0,CALL IT COURAGE,Armstrong Sperry,1973,Simon Pulse,Courage
0020545401,8.0,MISS PYM DISPOSES,Josephine Tey,1988,Scribner Paper Fiction,Fiction
0020598904,8.0,The Age of Innocence,Edith Wharton,1920,Collier Books,Fiction
0020648200,9.0,Homesteading,Patricia Crawford,1976,Simon &amp; Schuster,House & Home
0020700105,8.0,SPOON RIVER ANTHOLOGY,Edgar Lee Masters,1962,Touchstone,Poetry
0020715609,5.0,SELECTED POEMS AND THREE PLAYS OF WILLIAM BUTLER YEATS,William Butler Yeats,1987,Scribner Paper Fiction,Ireland
0020777108,5.0,"MOM'S HOUSE, DAD'S HOUSE",Isolina Ricci,1982,Fireside,Psychology
0020778201,5.5,The Angry Book,Theodore Isaac Rubin,1977,Collier Books,Psychology
0020780605,8.0,TO LOVE AND BE WISE,Josephine Tey,1988,Scribner Paper Fiction,Fiction
0020795904,9.0,HOW TO SPEAK HOW TO LISTEN,Curtis Adler,1985,Touchstone,Self-Help
0020811853,7.2,POSTCARDS,E. Annie Proulx,1993,Scribner Paper Fiction,Fiction
0020820445,8.0,With Fire and Sword,Henryk Sienkiewicz,1993,Simon &amp; Schuster,Poland
0020838506,10.0,The Cost of Discipleship.,Dietrich Bonhoeffer,1963,Scribner Paper Fiction,Religion
0020849400,7.0,Companion to Narnia,Madeleine L'Engle,1987,Collier Books,Literary Criticism
0020869207,8.5,That Hideous Strength,C.S. Lewis,1965,Scribner Paper Fiction,Fiction
0020869401,7.333333333333333,MERE CHRISTIANITY,C.S. Lewis,1986,Scribner Paper Fiction,Religion
0020869606,7.5,That Hideous Strength (A Modern Fairy-Tale for Grownups),C.S. Lewis,1987,Scribner Paper Fiction,College teachers
0020891415,10.0,On Death And Dying,Elisabeth Kubler-Ross,1993,Scribner,Psychology
0020960808,10.0,The Natural Superiority of Women,Ashley Montagu,1979,Collier Books,Social Science
0023018909,7.0,Masterpieces of the drama,Alexander W Allison,1974,Macmillan,Art
0023248807,5.0,Introduction to logic,Irving M Copi,1978,Macmillan,Philosophy
0023728213,9.0,Foundations of Earth Science,Frederick K. Lutgens,1995,Prentice Hall,Earth sciences
0023884401,9.0,Man's religions,John Boyer Noss,1974,Macmillan,Religions
0023933410,8.0,Reporting Technical Information,Kenneth W. Houp,1992,Prentice Hall,Technical writing
0024040908,7.0,Statistics Without Tears: A Primer for Non Mathematicians,Derek Rowntree,1981,MacMillan Publishing Company.,Statistics
0024096229,10.0,Psychology,Kelly G. Shaver,1993,Prentice Hall,Psychology
0024248606,7.0,Protestant Ethic and the Spirit of Capitalism,Max Weber,1977,Prentice Hall,Reference
0024278254,10.0,Literature of the Western World: The Ancient World Through the Renaissance,Brian Wilkie,1992,Prentice Hall,Literature
0025173251,3.0,MANCHILD IN THE PROMISED LAND,Kenneth T. Brown,1990,Scribner,Biography & Autobiography
0025180207,8.0,Weather Flying,Robert N. Buck,1978,MacMillan Publishing Company.,Airplanes
0025180207,8.0,Weather Flying,Robert N. Buck,1978,MacMillan Publishing Company.,Transportation
0025196359,7.6,BARBARA BUSH : A Memoir,Barbara Bush,1994,Scribner,Biography & Autobiography
0025439456,7.666666666666667,JOSHUA AND THE CHILDREN,Joseph F. Girzone,1989,Scribner,Fiction
0025465805,7.0,The luck factor: Why some people are luckier than others and how you can become one of them,Max Gunther,1977,Macmillan,Chance
0025631403,9.0,The TRAP,Tabitha King,1985,Scribner,Fiction
0025706101,7.0,Mere Christianity,C. S. Lewis,1952,MacMillan Publishing Company.,Religion
0026045702,10.0,Joy of Cooking,Irma S. Rombauer,1985,Scribner,Cooking
0026071509,5.0,The Proficient Pilot,Barry Schiff,1985,MacMillan Publishing Company.,Technology & Engineering
0026205408,9.0,The Samurai: A Military History,Stephen R. Turnbull,1977,Simon &amp; Schuster,History
0026305909,8.0,LOST AND FOUND,Joanna Wissinger,1991,Scribner,Biography & Autobiography
0026305909,8.0,LOST AND FOUND,Joanna Wissinger,1991,Scribner,Juvenile Nonfiction
0027000303,8.0,WATERSHIP DOWN,Richard Adams,1974,Scribner,Fiction
0027110206,9.0,DEENIE,Judy Blume,1982,Atheneum/Richard Jackson Books,Juvenile Fiction
0027110400,5.0,Iggie's House,Judy Blume,1982,Atheneum/Richard Jackson Books,Juvenile Fiction
0027118401,7.5,The WOLF,Margaret Barbalet,1992,Simon &amp; Schuster Children's Publishing,History
0027136701,5.0,Caddie Woodlawn,Carol Ryrie Brink,1973,Simon &amp; Schuster Children's Publishing,Juvenile Fiction
0027153800,6.5,The Man Who Could Call Down Owls,Eve Bunting,1984,Simon &amp; Schuster Children's Publishing,Owls
0027197107,10.0,The Cat Who Went to Heaven,Elizabeth Coatsworth,1967,Simon &amp; Schuster Children's Publishing,Juvenile Fiction
0027436292,10.0,King of the Wind : The Story of the Godolphin Arabian,Marguerite Henry,1990,Simon &amp; Schuster Children's Publishing,Juvenile Fiction
0027582000,10.0,"The Lion, the Witch and the Wardrobe",C. S. Lewis,1983,MacMillan Publishing Company.,Fiction
0027583600,8.0,The Magician's Nephew,C. S. Lewis,1969,MacMillan Publishing Company.,Children's stories
0027594556,6.0,The Call of the Wild,Jack London,1994,Simon &amp; Schuster Children's Publishing,American fiction
0027701301,9.25,Hatchet,Gary Paulsen,1987,Atheneum/Richard Jackson Books,Juvenile Fiction
0027751708,9.0,The satanic mill,Otfried Preussler,1973,Macmillan,Germany
0028277775,10.0,Life Science,Lucy Daniel,1999,Glencoe/McGraw-Hill,Life sciences
0028608364,9.0,Jimi Hendrix: The Ultimate Experience,Adrian Boot,1995,Macmillan General Reference,Music
0028610105,9.0,How to Cook Everything: Simple Recipes for Great Food,Mark  Bittman,1998,John Wiley &amp; Sons,Cooking
0028612574,9.0,"The Naturally Sweet Baker : 150 Decadent Desserts Made With Honey, Maple Syrup, and Other Delicious Alternatives to Refined Sugar",Carrie Davis,1997,MacMillan Publishing Company.,Cooking
0028615077,7.0,Organize Yourself!,Ronni  Eisenberg,1997,John Wiley &amp; Sons,Self-Help
0028622480,8.5,The First-Book Market: Where and How to Publish Your First Book and Make It a Success,Jason Shinder,1998,MacMillan Publishing Company.,Language Arts & Disciplines
0028626923,10.0,Arco Teach Yourself the Gmat Cat in 24 Hours (Arcos Teach Yourself in 24 Hours Series),Mark A. Stewart,1998,John Wiley &amp; Sons,Study Aids
0028627377,9.0,The Complete Idiot's Guide to Tarot and Fortune-Telling,Arlene Tognetti,1998,Alpha Books,"Body, Mind & Spirit"
0028631919,8.0,The Complete Idiot's Guide to Understanding Judaism,Benjamin Blech,1999,Alpha Books,Religion
002863196X,10.0,Complete Idiot's Guide to Getting Your Romance Published,Julie Beard,2000,Alpha Books,Language Arts & Disciplines
0028642600,4.0,Mistresses of Mayhem: The Book of Women Criminals,Francine Hornberger,2002,Alpha Books,Law
0028642635,9.0,The Complete Idiot's Guide to Managing Your Time (3rd Edition),Jeff Davidson,2001,Penguin Putnam,Self-Help
0028642651,2.0,The Zen of Organizing,Regina Leeds,2002,Alpha Books,Self-Help
0028643380,9.0,The Complete Idiot's Guide to Philosophy (2nd Edition),Jay Stevenson,2002,Alpha Books,Electronic books
0028643518,7.0,Behind Bars: Surviving Prison,Jeffrey Ian Ross,2002,Alpha Books,Social Science
0028740173,8.0,EMOTIONAL LIFE OF THE TODDLER,Alicia F. Lieberman,1995,Free Press,Family & Relationships
0029095026,9.0,Adventures of Amos 'N' Andy: A Social History of an American Phenomenon,Melvin Patrick Ely,1991,Simon &amp; Schuster,Performing Arts
0029197821,8.0,MANAGING THE PROFESSIONAL SERVICE FIRM,David H. Maister,1993,Free Press,Business & Economics
0029353017,8.0,Unit 731: Japan's Secret Biological Warfare in World War II,Peter Williams,1989,Simon &amp; Schuster,History
0030036798,5.0,Nightwork,Joseph Hansen,1985,Harcourt Brace* Co,Fiction
0030069564,4.0,Linguistic Anthropology (Basic anthropology units),Nancy Parrott Hickerson,1980,Thomson Learning,Social Science
0030073227,10.0,Labyrinth: A Novel,A. C. H. Smith,1986,Henry Holt &amp; Co,Comics & Graphic Novels
0030096502,8.0,Fathers and Children,Simmons,1949,Harcourt Brace College Publishers,Fiction
0030118514,1.0,Philosophies Men Live by,Robert Franklin Davidson,1974,Thomson Learning,Philosophy
0030127440,7.0,Crime and criminology,Sue Titus Reid,1988,"Holt, Rinehart, and Winston","Criminal justice, Administration of"
0030137462,10.0,The Eagle Has Landed,Jack Higgins,1975,Henry Holt &amp; Co,Kidnapping
0030147166,5.0,"Mister God, This is Anna",Anna Fynn,1975,Henry Holt &amp; Company,Religion
0030180716,6.0,"Me Too, Iguana (Sweet Pickles Series)",Jacquelyn Reinach,1977,Henry Holt &amp; Co (J),Iguana (Genus)
0030182913,10.0,The Duchess of Duke Street: A Novel,Mollie Hardwick,1977,Henry Holt &amp; Co,Fiction
003022313X,7.5,Contemporary Marketing 1999: 1999 (The Dryden Press Series in Marketing),Louis E. Boone,1998,Harcourt Brace College Publishers,Marketing
0030226864,8.0,The Cheyennes : Indians of the Great Plains (Case Studies in Cultural Anthropology),E. Adamson Hoebel,1978,Wadsworth Publishing,History
0030254264,9.0,The Second X: The Biology of Women,"Colleen M, Belk",1998,Custom Publishing,Science
0030441668,9.0,An American Rhetoric,William Whyte Watt,1980,Harcourt School,English language
0030454964,5.0,Snow Falcon,Craig Thomas,1980,"Henry Holt &amp; Company, Inc.",Fiction
0030477166,8.0,Ghosts,Philip Makanna,1979,Holt Rinehart &amp; Winston,History
0030574862,8.0,Fadeout,Joseph Hansen,1980,"Holt, Rinehart, and Winston",Fiction
0030597862,10.0,Unknown Woman: A Journey to Self-Discovery,Alice Koller,1982,Henry Holt &amp; Co,Self-realization
0030599415,7.0,Mastering Rubik's Cube: The Solution to the 20th Century's Most Amazing Puzzle,Donald Taylor,1981,Henry Holt &amp; Co,Games
003060043X,7.0,Gone the Dreams and Dancing,Douglas C. Jones,1984,Henry Holt &amp; Co,Fiction
0030605601,10.0,Snoopy and the Red Baron,C. M. Schulz,1966,Henry Holt &amp; Co (J),COMICS & GRAPHIC NOVELS
003061368X,8.0,The Sunne in Splendour,Sharon Kay Penman,1982,Henry Holt &amp; Co,Fiction
0030615534,8.0,Friday,Robert A. Heinlein,1982,Holt Rinehart and Winston,Fiction
0030616573,8.0,A Shoe for All Seasons,Jeff MacNelly,1983,Henry Holt &amp; Co,Caricatures and cartoons
0030632366,7.25,Outrageous Acts and Everyday Rebellions,Gloria Steinem,1987,Smithmark Pub,Social Science
0030706114,8.5,Love Medicine: A Novel,Louise Erdrich,1984,Henry Holt &amp; Co,Contempt of legislative bodies
0030773253,8.0,Great Political Thinkers: Plato to the Present,William Ebenstein,1969,Holt Rinehart and Winston,Political Science
0030842573,7.0,Escape!,Ben Bova,1970,"Holt, Rinehart and Winston",Games & Activities
0030859670,7.0,The Israelis;: Founders and sons,Amos Elon,1971,"Holt, Rinehart and Winston",Arab-Israeli conflict
0030865727,5.0,The crown of Mexico;: Maximilian and his Empress Carlota,Joan Haslip,1972,"Holt, Rinehart and Winston",Mexico
003089896X,9.0,A Place for Noah,Josh Greenfeld,1978,Henry Holt &amp; Co,Brain-damaged children
0044401574,5.0,"Inferno (Indigo, Book 2)",Louise Cooper,1988,Harpercollins,Fiction
0044406150,8.0,Hunter's Moon,Garry Kilworth,1990,HarperCollins Publishers,Fiction
0044408331,9.0,Gertrude and Alice,Diana Souhami,1992,Harpercollins,Biography & Autobiography
0048231398,8.75,The Silmarillion,J. R. R Tolkien,1977,Allen &amp; Unwin,Fiction
0048233862,10.0,"The hobbit, or, There and back again",J. R. R Tolkien,1987,Unwin Hyman,Juvenile Fiction
0048270237,7.0,Graffiti 2,Nigel Rees,1980,Unwin Paperbacks,Art
0060000961,6.666666666666667,Windtalkers,Max A. Collins,2001,HarperEntertainment,Performing Arts
0060001445,6.666666666666667,"Her Highness, My Wife",Victoria Alexander,2002,Avon,Fiction
0060001941,8.75,A Tree Grows in Brooklyn,Betty Smith,2001,HarperCollins,Fiction
0060002050,7.538461538461538,On a Wicked Dawn (Cynster Novels),Stephanie Laurens,2002,Avon Books,Fiction
0060005505,10.0,Six Wives: The Queens of Henry VIII,David Starkey,2004,Perennial,Biography & Autobiography
0060005564,8.666666666666666,Last to Die,James Grippando,2004,HarperTorch,Fiction
0060005688,9.0,The Paradox of Choice: Why More Is Less,Barry Schwartz,2004,Ecco,Psychology
006000570X,9.0,The Brewmaster's Table : Discovering the Pleasures of Real Beer with Real Food,Garrett Oliver,2003,Ecco,Cooking
0060005777,7.5,The Story of the Trapp Family Singers,Maria Augusta Trapp,2001,Perennial,Biography & Autobiography
0060008024,8.125,Angels,Marian Keyes,2002,William Morrow,Biography & Autobiography
0060008032,7.257142857142857,Angels,Marian Keyes,2003,HarperTorch,Biography & Autobiography
0060008245,8.0,Running Scared,Elizabeth Lowell,2002,HarperAudio,Religion
0060008369,7.4,The Shadows of Power,James W. Huston,2003,Avon Books,International organization
0060008776,6.84,Pagan Babies,Elmore Leonard,2002,HarperTorch,Biography & Autobiography
0060008865,8.0,Do No Harm,Gregg Hurwitz,2002,William Morrow,Biography & Autobiography
0060008873,7.6,Do No Harm,Gregg Hurwitz,2003,HarperTorch,Biography & Autobiography
0060009225,9.5,Call Each River Jordan,Owen Parry,2002,HarperTorch,Fiction
0060011483,9.0,The Chocolate Ship,Marissa Monteilh,2003,Avon Trade,Fiction
0060011610,10.0,The Parables of Peanuts,Robert L. Short,2002,HarperSanFrancisco,Religion
0060013117,7.571428571428571,Night Watch,Terry Pratchett,2002,HarperCollins,Nature
0060013125,8.7,Night Watch,Terry Pratchett,2003,HarperTorch,Nature
0060082151,6.5,Be Cool,Elmore Leonard,2002,HarperTorch,Fiction
0060083425,7.25,Absolute Zero,Chuck Logan,2002,HarperAudio,Fiction
0060084022,6.0,The Big Bounce,Elmore Leonard,2003,HarperTorch,Fiction
0060084049,5.5,Cuba Libre,Elmore Leonard,2002,HarperTorch,Fiction
0060084065,8.0,The Hunted,Elmore Leonard,2003,HarperTorch,Young Adult Fiction
0060084081,6.0,Maximum Bob,Elmore Leonard,2002,HarperTorch,Fiction
0060084286,9.0,Inner Gardening : A Seasonal Path to Inner Peace,Diane Dreher,2002,Perennial Currents,Gardening
0060084332,9.0,The Myth of the Great War : A New Military History of World War I,John Mosier,2002,Perennial,History
0060085894,7.5,Frida : A Biography of Frida Kahlo,Hayden Herrera,2002,Perennial,Biography & Autobiography
0060085924,7.0,Our Paris: Sketches from Memory,Edmund White,2002,Ecco,"4e Arrondissement (Paris, France)"
0060086386,6.052631578947368,Filthy Rich,Dorothy Samuels,2002,Avon Trade,Fiction
0060086637,4.0,Barracuda 945,Patrick Robinson,2004,HarperTorch,Fiction
0060086661,6.0,Lily Dale: The True Story of the Town that talks to the Dead,Christine Wicker,2003,HarperSanFrancisco,History
0060087412,9.0,Screwball,David Ferrell,2003,William Morrow,Fiction
0060087471,8.0,Remarkable Changes : Turning Life's Challenges into Opportunities,Jane Seymour,2003,Regan Books,Biography & Autobiography
0060089288,8.0,All I Want Is Forever,Lynn Emery,2002,HarperTorch,Poetry
0060089296,9.0,Kiss Lonely Goodbye,Lynn Emery,2003,HarperTorch,Fiction
0060089555,5.0,Freaky Deaky,Elmore Leonard,2002,HarperTorch,Fiction
0060090324,10.0,How to Marry a Divorced Man,Leslie Fram,2003,Regan Books,Self-Help
0060092572,6.333333333333333,The Terminal Man,Michael Crichton,2002,Avon Books,Fiction
0060093579,6.0,Wildfire at Midnight,Mary Stewart,2003,HarperTorch,Fiction
0060095288,8.0,Fire Lover,Joseph Wambaugh,2003,Avon Books,True Crime
0060095296,7.0,The Anti-Terror Checklist: Preparing for the Unthinkable,Bill Stanton,2001,HarperCollins,Health & Fitness
0060095628,6.0,Flight Lessons,Patricia Gaffney,2002,HarperAudio,Fiction
0060096195,8.132075471698114,The Boy Next Door,Meggin Cabot,2002,Avon Trade,Fiction
0060099526,9.0,Quilting the Black-Eyed Pea: Poems and Not Quite Poems,Nikki Giovanni,2002,William Morrow &amp; Company,Poetry
0060104910,7.0,The Chaneysville Incident: A Novel,David Bradley,1981,Harpercollins,Fiction
0060106387,7.0,Do-It-Yourself Gunsmithing,Jim. Carmichel,1978,Harpercollins,Sports & Recreation
0060113073,7.0,High Stakes,Dick Francis,1976,Harpercollins,Fiction
0060113375,9.0,Judy,Gerold Frank,1975,Harpercollins,Art
0060113413,7.0,In the Frame,Dick Francis,1977,Harpercollins,Biography & Autobiography
0060114193,10.0,Autumn of the Patriarch,Gabriel Garcia Marquez,1976,Harpercollins,Fiction
0060114991,10.0,I'm Dancing As Fast As I Can,Barbara Gordon,1981,Harpercollins,Diazepam
